"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
desmodium,ilima,fallax,intortum,,,,,,,,,,Melampsora
Desmodium,Sida,intortum,desmodium,,,,,,,,,,populnea
intortum,fallax,desmodium,Desmodium,,,,,,,,,,Melampsorella
or,ilima,Desmodium,intortum,,,,,,,,,,caryophyllacearum
Desmodium,papa,intortum,or,,,,,,,,,,Melanconis
aparines,Sida,or,Desmodium,,,,,,,,,,betulina
ironwood,fallax,Desmodium,aparines,,,,,,,,,,Melanconis
toa,intortum,aparines,ironwood,,,,,,,,,,juglandis
gagu,desmodium,ironwood,toa,,,,,,,,,,Meria
laash,Desmodium,toa,gagu,,,,,,,,,,laricis
ngas,intortum,gagu,laash,,,,,,,,,,Metarhizium
mejinoki,or,laash,ngas,,,,,,,,,,anisopliae
weeku,Desmodium,ngas,mejinoki,,,,,,,,,,Microdochium
Casuarina,aparines,mejinoki,weeku,,,,,,,,,,nivale
equisetifolia,ironwood,weeku,Casuarina,,,,,,,,,,Microsphaera
Italian,toa,Casuarina,equisetifolia,,,,,,,,,,penicillata
cypress,gagu,equisetifolia,Italian,,,,,,,,,,Microsphaera
Cupressus,laash,Italian,cypress,,,,,,,,,,vaccinii
sempervirons,ngas,cypress,Cupressus,,,,,,,,,,Microstroma
jackfruit,mejinoki,Cupressus,sempervirons,,,,,,,,,,juglandis
Artocarpus,weeku,sempervirons,jackfruit,,,,,,,,,,Monilinia
hetrophyllum,Casuarina,jackfruit,Artocarpus,,,,,,,,,,fructicola
Japanese,equisetifolia,Artocarpus,hetrophyllum,,,,,,,,,,Monilinia
sugi,Italian,hetrophyllum,Japanese,,,,,,,,,,laxa
pine,cypress,Japanese,sugi,,,,,,,,,,Monilinia
Cryptomaria,Cupressus,sugi,pine,,,,,,,,,,oxycocci
japonica,sempervirons,pine,Cryptomaria,,,,,,,,,,Monilinia
jobs,jackfruit,Cryptomaria,japonica,,,,,,,,,,vaccinii-corymbosi
tears,Artocarpus,japonica,jobs,,,,,,,,,,Monilochaetes
Coix,hetrophyllum,jobs,tears,,,,,,,,,,infuscans
lachryma,Japanese,tears,Coix,,,,,,,,,,Monochaetia
jungle,sugi,Coix,lachryma,,,,,,,,,,monochaeta
rice,pine,lachryma,jungle,,,,,,,,,,Morchella
Echinochloa,Cryptomaria,jungle,rice,,,,,,,,,,esculenta
colona,japonica,rice,Echinochloa,,,,,,,,,,Morchella
kamani,jobs,Echinochloa,colona,,,,,,,,,,vulgaris
daok,tears,colona,kamani,,,,,,,,,,Mucor
fetau,Coix,kamani,daok,,,,,,,,,,hiemalis
btaches,lachryma,daok,fetau,,,,,,,,,,Mycoleptodiscus
biyuch,jungle,fetau,btaches,,,,,,,,,,terrestris
eet,rice,btaches,biyuch,,,,,,,,,,Mycosarcoma
isou,Echinochloa,biyuch,eet,,,,,,,,,,maydis
lueg,colona,eet,isou,,,,,,,,,,Mycosphaerella
rakich,kamani,isou,lueg,,,,,,,,,,alocasiae
Calophyllum,daok,lueg,rakich,,,,,,,,,,Mycosphaerella
inophyllum,fetau,rakich,Calophyllum,,,,,,,,,,cerasella
kamole,btaches,Calophyllum,inophyllum,,,,,,,,,,Mycosphaerella
smartweed,biyuch,inophyllum,kamole,,,,,,,,,,citri
Polygonum,eet,kamole,smartweed,,,,,,,,,,Mycosphaerella
minus,isou,smartweed,Polygonum,,,,,,,,,,coffeicola
var,lueg,Polygonum,minus,,,,,,,,,,Mycosphaerella
procerum,rakich,minus,var,,,,,,,,,,cruenta
koa,Calophyllum,var,procerum,,,,,,,,,,Mycosphaerella
Acacia,inophyllum,procerum,koa,,,,,,,,,,dearnessii
koa,kamole,koa,Acacia,,,,,,,,,,Mycosphaerella
koai,smartweed,Acacia,koa,,,,,,,,,,diospyri
a,Polygonum,koa,koai,,,,,,,,,,Mycosphaerella
Acacia,minus,koai,a,,,,,,,,,,effigurata
koaia,var,a,Acacia,,,,,,,,,,Mycosphaerella
kolomona,procerum,Acacia,koaia,,,,,,,,,,fijiensis
Senna,koa,koaia,kolomona,,,,,,,,,,Mycosphaerella
guadichaudii,Acacia,kolomona,Senna,,,,,,,,,,fragariae
kou,koa,Senna,guadichaudii,,,,,,,,,,Mycosphaerella
niyoron,koai,guadichaudii,kou,,,,,,,,,,fraxinicola
tauanave,a,kou,niyoron,,,,,,,,,,Mycosphaerella
galu,Acacia,niyoron,tauanave,,,,,,,,,,gossypina
koa,koaia,tauanave,galu,,,,,,,,,,Mycosphaerella
kalau,kolomona,galu,koa,,,,,,,,,,henningsii
ikoik,Senna,koa,kalau,,,,,,,,,,Mycosphaerella
ikoak,guadichaudii,kalau,ikoik,,,,,,,,,,musae
anau,kou,ikoik,ikoak,,,,,,,,,,Mycosphaerella
Cordia,niyoron,ikoak,anau,,,,,,,,,,musicola
subcordata,tauanave,anau,Cordia,,,,,,,,,,Mycosphaerella
kukui,galu,Cordia,subcordata,,,,,,,,,,pini
lama,koa,subcordata,kukui,,,,,,,,,,Mycosphaerella
lumbang,kalau,kukui,lama,,,,,,,,,,pinodes
sakan,ikoik,lama,lumbang,,,,,,,,,,Mycosphaerella
raguar,ikoak,lumbang,sakan,,,,,,,,,,pomi
candlenut,anau,sakan,raguar,,,,,,,,,,Mycosphaerella
tree,Cordia,raguar,candlenut,,,,,,,,,,populicola
Aleurites,subcordata,candlenut,tree,,,,,,,,,,Mycosphaerella
moluccana,kukui,tree,Aleurites,,,,,,,,,,ribis
lablab,lama,Aleurites,moluccana,,,,,,,,,,Mycosphaerella
Lablab,lumbang,moluccana,lablab,,,,,,,,,,zeae-maydis
purpureus,sakan,lablab,Lablab,,,,,,,,,,Myrothecium
lemongrass,raguar,Lablab,purpureus,,,,,,,,,,roridum
Cymbopogon,candlenut,purpureus,lemongrass,,,,,,,,,,Naohidemyces
citratus,tree,lemongrass,Cymbopogon,,,,,,,,,,vacciniorum
limpograss,Aleurites,Cymbopogon,citratus,,,,,,,,,,Nattrassia
Hemarthria,moluccana,citratus,limpograss,,,,,,,,,,mangiferae
altissima,lablab,limpograss,Hemarthria,,,,,,,,,,Nectria
cv,Lablab,Hemarthria,altissima,,,,,,,,,,cinnabarina
Bigalta,purpureus,altissima,cv,,,,,,,,,,Nectria
lippia,lemongrass,cv,Bigalta,,,,,,,,,,galligena
Lippia,Cymbopogon,Bigalta,lippia,,,,,,,,,,Neofabraea
nodiflora,citratus,lippia,Lippia,,,,,,,,,,malicorticis
loulu,limpograss,Lippia,nodiflora,,,,,,,,,,Neonectria
palm,Hemarthria,nodiflora,loulu,,,,,,,,,,ditissima
Pritchardia,altissima,loulu,palm,,,,,,,,,,Neonectria
sp,cv,palm,Pritchardia,,,,,,,,,,faginata
ma,Bigalta,Pritchardia,sp,,,,,,,,,,Neonectria
o,lippia,sp,ma,,,,,,,,,,galligena
Hawaiian,Lippia,ma,o,,,,,,,,,,Neonectria
cotton,nodiflora,o,Hawaiian,,,,,,,,,,radicicola
Gossypium,loulu,Hawaiian,cotton,,,,,,,,,,Neopeckia
tomentosum,palm,cotton,Gossypium,,,,,,,,,,coulteri
Macarthur,Pritchardia,Gossypium,tomentosum,,,,,,,,,,Neotyphodium
palm,sp,tomentosum,Macarthur,,,,,,,,,,typhinum
Ptychosperma,ma,Macarthur,palm,,,,,,,,,,Oculimacula
macarthurii,o,palm,Ptychosperma,,,,,,,,,,acuformis
mahogany,Hawaiian,Ptychosperma,macarthurii,,,,,,,,,,Oidium
Swietenia,cotton,macarthurii,mahogany,,,,,,,,,,lycopersici
mahagoni,Gossypium,mahogany,Swietenia,,,,,,,,,,Oidium
mahogany,tomentosum,Swietenia,mahagoni,,,,,,,,,,mangiferae
broad,Macarthur,mahagoni,mahogany,,,,,,,,,,Olpidium
leaved,palm,mahogany,broad,,,,,,,,,,brassicae
Swietenia,Ptychosperma,broad,leaved,,,,,,,,,,Onnia
macrophylla,macarthurii,leaved,Swietenia,,,,,,,,,,tomentosa
makai,mahogany,Swietenia,macrophylla,,,,,,,,,,Ophiosphaerella
Scirpus,Swietenia,macrophylla,makai,,,,,,,,,,herpotricha
maritimus,mahagoni,makai,Scirpus,,,,,,,,,,Ophiosphaerella
var,mahogany,Scirpus,maritimus,,,,,,,,,,korrae
paludosus,broad,maritimus,var,,,,,,,,,,Ophiostoma
mamane,leaved,var,paludosus,,,,,,,,,,ips
Sophora,Swietenia,paludosus,mamane,,,,,,,,,,Ophiostoma
chrysophylla,macrophylla,mamane,Sophora,,,,,,,,,,novo-ulmi
manele,makai,Sophora,chrysophylla,,,,,,,,,,Ophiostoma
soapberry,Scirpus,chrysophylla,manele,,,,,,,,,,ulmi
Sapindus,maritimus,manele,soapberry,,,,,,,,,,Ophiostoma
saponaria,var,soapberry,Sapindus,,,,,,,,,,wageneri
mangium,paludosus,Sapindus,saponaria,,,,,,,,,,Ovulinia
Acacia,mamane,saponaria,mangium,,,,,,,,,,azaleae
mangium,Sophora,mangium,Acacia,,,,,,,,,,Oxyporus
mango,chrysophylla,Acacia,mangium,,,,,,,,,,populinus
kangit,manele,mangium,mango,,,,,,,,,,Paecilomyces
idele,soapberry,mango,kangit,,,,,,,,,,farinosus
mago,Sapindus,kangit,idele,,,,,,,,,,Paecilomyces
mangueira,saponaria,idele,mago,,,,,,,,,,fumosoroseus
Magnifera,mangium,mago,mangueira,,,,,,,,,,Passalora
indica,Acacia,mangueira,Magnifera,,,,,,,,,,arachidicola
mau,mangium,Magnifera,indica,,,,,,,,,,Passalora
u,mango,indica,mau,,,,,,,,,,bataticola
laiki,kangit,mau,u,,,,,,,,,,Passalora
ricegrass,idele,u,laiki,,,,,,,,,,fulva
Paspalum,mago,laiki,ricegrass,,,,,,,,,,Passalora
orbiculare,mangueira,ricegrass,Paspalum,,,,,,,,,,koepkei
milo,Magnifera,Paspalum,orbiculare,,,,,,,,,,Passalora
binalo,indica,orbiculare,milo,,,,,,,,,,personata
banalo,mau,milo,binalo,,,,,,,,,,Passalora
rosewood,u,binalo,banalo,,,,,,,,,,sequoiae
Thespesia,laiki,banalo,rosewood,,,,,,,,,,Penicillium
populnea,ricegrass,rosewood,Thespesia,,,,,,,,,,digitatum
badrirt,Paspalum,Thespesia,populnea,,,,,,,,,,Penicillium
kilulo,orbiculare,populnea,badrirt,,,,,,,,,,expansum
panu,milo,badrirt,kilulo,,,,,,,,,,Penicillium
polo,binalo,kilulo,panu,,,,,,,,,,italicum
pone,banalo,panu,polo,,,,,,,,,,Penicillium
bangbeng,rosewood,polo,pone,,,,,,,,,,oxalicum
monkeypod,Thespesia,pone,bangbeng,,,,,,,,,,Penicillium
filinganga,populnea,bangbeng,monkeypod,,,,,,,,,,purpurogenum
gumorni,badrirt,monkeypod,filinganga,,,,,,,,,,Peniophora
tamalini,kilulo,filinganga,gumorni,,,,,,,,,,polygonia
trongkonmames,panu,gumorni,tamalini,,,,,,,,,,Perenniporia
Samanea,polo,tamalini,trongkonmames,,,,,,,,,,subacida
saman,pone,trongkonmames,Samanea,,,,,,,,,,Peridermium
syn,bangbeng,Samanea,saman,,,,,,,,,,bethelii
Albizia,monkeypod,saman,syn,,,,,,,,,,Peridermium
saman,filinganga,syn,Albizia,,,,,,,,,,ephedrae
naio,gumorni,Albizia,saman,,,,,,,,,,Peridermium
Myoporum,tamalini,saman,naio,,,,,,,,,,filamentosum
sandwicense,trongkonmames,naio,Myoporum,,,,,,,,,,Peridermium
nanea,Samanea,Myoporum,sandwicense,,,,,,,,,,montanum
Vigna,saman,sandwicense,nanea,,,,,,,,,,Peronosclerospora
marina,syn,nanea,Vigna,,,,,,,,,,sorghi
Napiergrass,Albizia,Vigna,marina,,,,,,,,,,Peronospora
Pennisetum,saman,marina,Napiergrass,,,,,,,,,,antirrhini
purpureum,naio,Napiergrass,Pennisetum,,,,,,,,,,Peronospora
cv,Myoporum,Pennisetum,purpureum,,,,,,,,,,destructor
Mott,sandwicense,purpureum,cv,,,,,,,,,,Peronospora
narrowleaf,nanea,cv,Mott,,,,,,,,,,farinosa
carpetgrass,Vigna,Mott,narrowleaf,,,,,,,,,,Peronospora
Australian,marina,narrowleaf,carpetgrass,,,,,,,,,,grisea
carpetgrass,Napiergrass,carpetgrass,Australian,,,,,,,,,,Peronospora
Axonopus,Pennisetum,Australian,carpetgrass,,,,,,,,,,hariotii
affinis,purpureum,carpetgrass,Axonopus,,,,,,,,,,Peronospora
syn,cv,Axonopus,affinis,,,,,,,,,,lamii
Axonopus,Mott,affinis,syn,,,,,,,,,,Peronospora
fissifolius,narrowleaf,syn,Axonopus,,,,,,,,,,manshurica
naupaka,carpetgrass,Axonopus,fissifolius,,,,,,,,,,Peronospora
nanaso,Australian,fissifolius,naupaka,,,,,,,,,,parasitica
Scaevola,carpetgrass,naupaka,nanaso,,,,,,,,,,Peronospora
sericea,Axonopus,nanaso,Scaevola,,,,,,,,,,potentillae
neem,affinis,Scaevola,sericea,,,,,,,,,,Peronospora
Azadirachta,syn,sericea,neem,,,,,,,,,,sparsa
indica,Axonopus,neem,Azadirachta,,,,,,,,,,Peronospora
noni,fissifolius,Azadirachta,indica,,,,,,,,,,tabacina
lada,naupaka,indica,noni,,,,,,,,,,Peronospora
nonu,nanaso,noni,lada,,,,,,,,,,trifoliorum
kesengel,Scaevola,lada,nonu,,,,,,,,,,Peronospora
i,sericea,nonu,kesengel,,,,,,,,,,violae
nen,neem,kesengel,i,,,,,,,,,,Pestalotia
mangal,Azadirachta,i,nen,,,,,,,,,,rhododendri
wag,indica,nen,mangal,,,,,,,,,,Pestalotia
Indian,noni,mangal,wag,,,,,,,,,,vaccinii
mulberry,lada,wag,Indian,,,,,,,,,,Pestalotiopsis
Morinda,nonu,Indian,mulberry,,,,,,,,,,funerea
citrifolia,kesengel,mulberry,Morinda,,,,,,,,,,Pestalotiopsis
Norfolk,i,Morinda,citrifolia,,,,,,,,,,mangiferae
Island,nen,citrifolia,Norfolk,,,,,,,,,,Pestalotiopsis
pine,mangal,Norfolk,Island,,,,,,,,,,palmarum
Araucaria,wag,Island,pine,,,,,,,,,,Phacidium
heterophylla,Indian,pine,Araucaria,,,,,,,,,,balsameae
Oahu,mulberry,Araucaria,heterophylla,,,,,,,,,,Phaeocryptopus
white,Morinda,heterophylla,Oahu,,,,,,,,,,gaeumannii
hibiscus,citrifolia,Oahu,white,,,,,,,,,,Phaeocryptopus
Hibiscus,Norfolk,white,hibiscus,,,,,,,,,,nudus
arnottianus,Island,hibiscus,Hibiscus,,,,,,,,,,Phaeoisariopsis
var,pine,Hibiscus,arnottianus,,,,,,,,,,griseola
punaluensis,Araucaria,arnottianus,var,,,,,,,,,,Phaeolus
oats,heterophylla,var,punaluensis,,,,,,,,,,alboluteus
Avena,Oahu,punaluensis,oats,,,,,,,,,,Phaeolus
sativa,white,oats,Avena,,,,,,,,,,schweinitzii
ohai,hibiscus,Avena,sativa,,,,,,,,,,Phaeomoniella
Sesbania,Hibiscus,sativa,ohai,,,,,,,,,,chlamydospora
tomentosa,arnottianus,ohai,Sesbania,,,,,,,,,,Phaeoramularia
ohai,var,Sesbania,tomentosa,,,,,,,,,,maculicola
Sesbania,punaluensis,tomentosa,ohai,,,,,,,,,,Phaeosphaeria
tomentosa,oats,ohai,Sesbania,,,,,,,,,,avenaria
f,Avena,Sesbania,tomentosa,,,,,,,,,,Phaeosphaeria
arborea,sativa,tomentosa,f,,,,,,,,,,avenaria
ohelo,ohai,f,arborea,,,,,,,,,,f.sp
Vaccinium,Sesbania,arborea,ohelo,,,,,,,,,,.
reticulatum,tomentosa,ohelo,Vaccinium,,,,,,,,,,avenariaPhakopsora
ohelo,ohai,Vaccinium,reticulatum,,,,,,,,,,meibomiae
kai,Sesbania,reticulatum,ohelo,,,,,,,,,,Phakopsora
Lycium,tomentosa,ohelo,kai,,,,,,,,,,pachyrhizi
sandwicense,f,kai,Lycium,,,,,,,,,,Phellinus
ohelo,arborea,Lycium,sandwicense,,,,,,,,,,chrysoloma
papa,ohelo,sandwicense,ohelo,,,,,,,,,,Phellinus
Fragaria,Vaccinium,ohelo,papa,,,,,,,,,,everhartii
chiloensis,reticulatum,papa,Fragaria,,,,,,,,,,Phellinus
ohi,ohelo,Fragaria,chiloensis,,,,,,,,,,igniarius
a,kai,chiloensis,ohi,,,,,,,,,,Phellinus
lehua,Lycium,ohi,a,,,,,,,,,,lamaënsis
Metrosideros,sandwicense,a,lehua,,,,,,,,,,Phellinus
polymorpha,ohelo,lehua,Metrosideros,,,,,,,,,,noxius
oleander,papa,Metrosideros,polymorpha,,,,,,,,,,Phellinus
oliana,Fragaria,polymorpha,oleander,,,,,,,,,,pini
Nerium,chiloensis,oleander,oliana,,,,,,,,,,Phellinus
oleander,ohi,oliana,Nerium,,,,,,,,,,robiniae
orchardgrass,a,Nerium,oleander,,,,,,,,,,Phellinus
Dactylis,lehua,oleander,orchardgrass,,,,,,,,,,tremulae
glomerata,Metrosideros,orchardgrass,Dactylis,,,,,,,,,,Phellinus
oyster,polymorpha,Dactylis,glomerata,,,,,,,,,,viticola
plant,oleander,glomerata,oyster,,,,,,,,,,Phellinus
Tradescantia,oliana,oyster,plant,,,,,,,,,,weirii
spathacea,Nerium,plant,Tradescantia,,,,,,,,,,Phialophora
panax,oleander,Tradescantia,spathacea,,,,,,,,,,cinerescens
tanitani,orchardgrass,spathacea,panax,,,,,,,,,,Phialophora
Polyscias,Dactylis,panax,tanitani,,,,,,,,,,gregata
guilfoylei,glomerata,tanitani,Polyscias,,,,,,,,,,Phloeospora
syn,oyster,Polyscias,guilfoylei,,,,,,,,,,aceris
Nothopanax,plant,guilfoylei,syn,,,,,,,,,,Phloeosporella
guilfoylei,Tradescantia,syn,Nothopanax,,,,,,,,,,padi
panini,spathacea,Nothopanax,guilfoylei,,,,,,,,,,Phlyctema
prickly,panax,guilfoylei,panini,,,,,,,,,,tiliae
pear,tanitani,panini,prickly,,,,,,,,,,Phlyctema
cactus,Polyscias,prickly,pear,,,,,,,,,,vagabunda
Opuntia,guilfoylei,pear,cactus,,,,,,,,,,Pholiota
ficusindica,syn,cactus,Opuntia,,,,,,,,,,squarrosa
paspalum,Nothopanax,Opuntia,ficusindica,,,,,,,,,,Phoma
Paspalum,guilfoylei,ficusindica,paspalum,,,,,,,,,,arachidicola
hieronymii,panini,paspalum,Paspalum,,,,,,,,,,Phoma
cv,prickly,Paspalum,hieronymii,,,,,,,,,,betae
Tropic,pear,hieronymii,cv,,,,,,,,,,Phoma
Lalo,cactus,cv,Tropic,,,,,,,,,,destructiva
pa,Opuntia,Tropic,Lalo,,,,,,,,,,Phoma
uohi,ficusindica,Lalo,pa,,,,,,,,,,exigua
iaka,paspalum,pa,uohi,,,,,,,,,,Phoma
Jacquemontia,Paspalum,uohi,iaka,,,,,,,,,,exigua
ovalifolia,hieronymii,iaka,Jacquemontia,,,,,,,,,,var
subsp,cv,Jacquemontia,ovalifolia,,,,,,,,,,.
sandwicensis,Tropic,ovalifolia,subsp,,,,,,,,,,exiguaPhoma
perennial,Lalo,subsp,sandwicensis,,,,,,,,,,gossypii
ryegrass,pa,sandwicensis,perennial,,,,,,,,,,Phoma
Lolium,uohi,perennial,ryegrass,,,,,,,,,,gossypiicola
perenne,iaka,ryegrass,Lolium,,,,,,,,,,Phoma
pigeonpea,Jacquemontia,Lolium,perenne,,,,,,,,,,macdonaldii
Cajanus,ovalifolia,perenne,pigeonpea,,,,,,,,,,Phoma
cajan,subsp,pigeonpea,Cajanus,,,,,,,,,,macrostoma
piligrass,sandwicensis,Cajanus,cajan,,,,,,,,,,var
tanglehead,perennial,cajan,piligrass,,,,,,,,,,.
Hetropogon,ryegrass,piligrass,tanglehead,,,,,,,,,,incolorataPhoma
contortus,Lolium,tanglehead,Hetropogon,,,,,,,,,,medicaginis
pink,perenne,Hetropogon,contortus,,,,,,,,,,Phoma
tecoma,pigeonpea,contortus,pink,,,,,,,,,,medicaginis
Tabebuia,Cajanus,pink,tecoma,,,,,,,,,,var
heterophylla,cajan,tecoma,Tabebuia,,,,,,,,,,.
plumeria,piligrass,Tabebuia,heterophylla,,,,,,,,,,medicaginisPhoma
Plumeria,tanglehead,heterophylla,plumeria,,,,,,,,,,putaminum
obtusa,Hetropogon,plumeria,Plumeria,,,,,,,,,,Phoma
PMN,contortus,Plumeria,obtusa,,,,,,,,,,sclerotioides
Hybrid,pink,obtusa,PMN,,,,,,,,,,Phoma
Napiergrass,tecoma,PMN,Hybrid,,,,,,,,,,sorghina
Pennisetum,Tabebuia,Hybrid,Napiergrass,,,,,,,,,,Phoma
purpureum,heterophylla,Napiergrass,Pennisetum,,,,,,,,,,terrestris
x,plumeria,Pennisetum,purpureum,,,,,,,,,,Phomopsis
Pennisetum,Plumeria,purpureum,x,,,,,,,,,,acerina
glaucum,obtusa,x,Pennisetum,,,,,,,,,,Phomopsis
podocarpus,PMN,Pennisetum,glaucum,,,,,,,,,,arnoldiae
Podocarpus,Hybrid,glaucum,podocarpus,,,,,,,,,,Phomopsis
sp,Napiergrass,podocarpus,Podocarpus,,,,,,,,,,juniperivora
pohinahina,Pennisetum,Podocarpus,sp,,,,,,,,,,Phomopsis
beach,purpureum,sp,pohinahina,,,,,,,,,,longicolla
vitex,x,pohinahina,beach,,,,,,,,,,Phomopsis
Vitex,Pennisetum,beach,vitex,,,,,,,,,,oblonga
rotundifolia,glaucum,vitex,Vitex,,,,,,,,,,Phomopsis
syn,podocarpus,Vitex,rotundifolia,,,,,,,,,,obscurans
Vitex,Podocarpus,rotundifolia,syn,,,,,,,,,,Phomopsis
ovata,sp,syn,Vitex,,,,,,,,,,occulta
pohuehue,pohinahina,Vitex,ovata,,,,,,,,,,Phomopsis
beach,beach,ovata,pohuehue,,,,,,,,,,vaccinii
morning,vitex,pohuehue,beach,,,,,,,,,,Phomopsis
glory,Vitex,beach,morning,,,,,,,,,,vexans
Ipomea,rotundifolia,morning,glory,,,,,,,,,,Phomopsis
pescaprae,syn,glory,Ipomea,,,,,,,,,,viticola
Portuguese,Vitex,Ipomea,pescaprae,,,,,,,,,,Phragmidium
Mexican,ovata,pescaprae,Portuguese,,,,,,,,,,ellisii
cypress,pohuehue,Portuguese,Mexican,,,,,,,,,,Phragmidium
Cupressus,beach,Mexican,cypress,,,,,,,,,,ivesiae
lusitanica,morning,cypress,Cupressus,,,,,,,,,,Phragmidium
poumuli,glory,Cupressus,lusitanica,,,,,,,,,,mucronatum
Flueggea,Ipomea,lusitanica,poumuli,,,,,,,,,,Phragmidium
flexuosa,pescaprae,poumuli,Flueggea,,,,,,,,,,rubi-idaei
Puerto,Portuguese,Flueggea,flexuosa,,,,,,,,,,Phragmidium
Rican,Mexican,flexuosa,Puerto,,,,,,,,,,violaceum
stargrass,cypress,Puerto,Rican,,,,,,,,,,Phyllachora
Cynodon,Cupressus,Rican,stargrass,,,,,,,,,,afzeliae
nlemfuensis,lusitanica,stargrass,Cynodon,,,,,,,,,,Phyllachora
cv,poumuli,Cynodon,nlemfuensis,,,,,,,,,,graminis
Florico,Flueggea,nlemfuensis,cv,,,,,,,,,,Phyllachora
pukiawe,flexuosa,cv,Florico,,,,,,,,,,luteomaculata
Styphelia,Puerto,Florico,pukiawe,,,,,,,,,,Phyllachora
tameiameiae,Rican,pukiawe,Styphelia,,,,,,,,,,musicola
rainbow,stargrass,Styphelia,tameiameiae,,,,,,,,,,Phyllachora
shower,Cynodon,tameiameiae,rainbow,,,,,,,,,,puncta
tree,nlemfuensis,rainbow,shower,,,,,,,,,,Phyllachora
Cassia,cv,shower,tree,,,,,,,,,,vulgata
x,Florico,tree,Cassia,,,,,,,,,,Phyllactinia
nealii,pukiawe,Cassia,x,,,,,,,,,,guttata
Rhodesgrass,Styphelia,x,nealii,,,,,,,,,,Phyllactinia
Chloris,tameiameiae,nealii,Rhodesgrass,,,,,,,,,,spp
gayana,rainbow,Rhodesgrass,Chloris,,,,,,,,,,.
rice,shower,Chloris,gayana,,,,,,,,,,Phyllosticta
Oryza,tree,gayana,rice,,,,,,,,,,acericola
sativa,Cassia,rice,Oryza,,,,,,,,,,Phyllosticta
riverredgum,x,Oryza,sativa,,,,,,,,,,brunnea
eucalyptus,nealii,sativa,riverredgum,,,,,,,,,,Phyllosticta
Eucalyptus,Rhodesgrass,riverredgum,eucalyptus,,,,,,,,,,capitalensis
camaldulensis,Chloris,eucalyptus,Eucalyptus,,,,,,,,,,Phyllosticta
rosemoss,gayana,Eucalyptus,camaldulensis,,,,,,,,,,catalpae
Portulaca,rice,camaldulensis,rosemoss,,,,,,,,,,Phyllosticta
grandiflora,Oryza,rosemoss,Portulaca,,,,,,,,,,circumscissa
sea,sativa,Portulaca,grandiflora,,,,,,,,,,Phyllosticta
grape,riverredgum,grandiflora,sea,,,,,,,,,,colocasiophila
Coccolba,eucalyptus,sea,grape,,,,,,,,,,Phyllosticta
uvifera,Eucalyptus,grape,Coccolba,,,,,,,,,,elongata
seashore,camaldulensis,Coccolba,uvifera,,,,,,,,,,Phyllosticta
paspalum,rosemoss,uvifera,seashore,,,,,,,,,,geranii
Paspalum,Portulaca,seashore,paspalum,,,,,,,,,,Phyllosticta
vaginatum,grandiflora,paspalum,Paspalum,,,,,,,,,,gossypina
sheep,sea,Paspalum,vaginatum,,,,,,,,,,Phyllosticta
sorrel,grape,vaginatum,sheep,,,,,,,,,,guttulatae
Rumex,Coccolba,sheep,sorrel,,,,,,,,,,Phyllosticta
acetosella,uvifera,sorrel,Rumex,,,,,,,,,,minima
shell,seashore,Rumex,acetosella,,,,,,,,,,Phyllosticta
ginger,paspalum,acetosella,shell,,,,,,,,,,minutissima
Alpinia,Paspalum,shell,ginger,,,,,,,,,,Phyllosticta
zerumbet,vaginatum,ginger,Alpinia,,,,,,,,,,sojaecola
shrubby,sheep,Alpinia,zerumbet,,,,,,,,,,Phyllosticta
stylo,sorrel,zerumbet,shrubby,,,,,,,,,,sojicola
Stylosanthes,Rumex,shrubby,stylo,,,,,,,,,,Phyllosticta
scabra,acetosella,stylo,Stylosanthes,,,,,,,,,,solitaria
cv,shell,Stylosanthes,scabra,,,,,,,,,,Phyllosticta
Seca,ginger,scabra,cv,,,,,,,,,,vaccinii
signalgrass,Alpinia,cv,Seca,,,,,,,,,,Phymatotrichopsis
Urochloa,zerumbet,Seca,signalgrass,,,,,,,,,,omnivora
brizantha,shrubby,signalgrass,Urochloa,,,,,,,,,,Physalospora
syn,stylo,Urochloa,brizantha,,,,,,,,,,miyabeana
Brachiaria,Stylosanthes,brizantha,syn,,,,,,,,,,Physalospora
brizantha,scabra,syn,Brachiaria,,,,,,,,,,vaccinii
smallcone,cv,Brachiaria,brizantha,,,,,,,,,,Physoderma
ironwood,Seca,brizantha,smallcone,,,,,,,,,,maydis
Casuarina,signalgrass,smallcone,ironwood,,,,,,,,,,Phytophthora
cunninghamiana,Urochloa,ironwood,Casuarina,,,,,,,,,,cactorum
soft,brizantha,Casuarina,cunninghamiana,,,,,,,,,,Phytophthora
rush,syn,cunninghamiana,soft,,,,,,,,,,cambivora
Juncus,Brachiaria,soft,rush,,,,,,,,,,Phytophthora
effusus,brizantha,rush,Juncus,,,,,,,,,,capsici
sorghum,smallcone,Juncus,effusus,,,,,,,,,,Phytophthora
x,ironwood,effusus,sorghum,,,,,,,,,,cinnamomi
sudangrass,Casuarina,sorghum,x,,,,,,,,,,Phytophthora
hybrid,cunninghamiana,x,sudangrass,,,,,,,,,,cinnamomi
Sorghum,soft,sudangrass,hybrid,,,,,,,,,,var
